Invoice/Item Number,Date,Store Number,Store Name,Address,City,Zip Code,Store Location,County Number,County,Category,Category Name,Vendor Number,Vendor Name,Item Number,Item Description,Pack,Bottle Volume (ml),State Bottle Cost,State Bottle Retail,Bottles Sold,Sale (Dollars),Volume Sold (Liters),Volume Sold (Gallons)
INV-07300200047,9/18/2017,2512,Hy-Vee Wine and Spirits / Iowa City,1720 Waterfront Dr,Iowa City,52240,POINT (-91.53046300000001 41.642764),52,JOHNSON,1032100,Imported Vodkas,260,DIAGEO AMERICAS,34457,Ketel One Imported Vodka,12,1000,16.5,24.75,24,594,24,6.34
INV-07241900006,9/14/2017,4901,Fareway Stores #137 / Polk City,1101 S 5th St,Polk City,50226,POINT (-93.719323 41.763876),77,POLK,1062100,Gold Rum,434,LUXCO INC,45246,Paramount Gold Rum,12,750,4,6,12,72,9,2.38
INV-07306500107,9/18/2017,3907,Smokin' Joe's #16 Tobacco and Liquor Outlet,1504 Park Ave,Muscatine,52761,POINT (-91.030569 41.442458),70,MUSCATINE,1062200,White Rum,35,BACARDI USA INC,43126,Bacardi Superior Rum,12,750,8.26,12.39,1,12.39,0.75,0.2
INV-07224400076,9/13/2017,2625,Hy-Vee Wine and Spirits #2,3301 W Kimberly Rd,Davenport,52804,,82,SCOTT,1011400,Tennessee Whiskies,85,Brown Forman Corp.,86673,Jack Daniel's Tennessee Honey,6,1750,30.68,46.02,1,46.02,1.75,0.46
INV-07247900025,9/14/2017,3054,Mcnally's Super Valu,1026 Main,Grinnell,50112,,79,POWESHIEK,1012100,Canadian Whiskies,55,SAZERAC NORTH AMERICA,12408,Canadian Ltd Whisky,6,1750,9.14,13.71,3,41.13,5.25,1.39
INV-07226600068,9/13/2017,2637,Hy-Vee #5 / Davenport,2351 W Locust,Davenport,52804,POINT (-90.611972 41.538207),82,SCOTT,1062500,Flavored Rum,370,PERNOD RICARD USA,42716,Malibu Coconut Rum,12,750,7.49,11.24,12,134.88,9,2.38
INV-07242500065,9/14/2017,4405,KUM & GO #92 / ANKENY,1025 E  1st St,Ankeny,50021,POINT (-93.58166 41.731869),77,POLK,1031100,American Vodkas,434,LUXCO INC,36301,Hawkeye Vodka 80 Prf Mini,12,500,4.13,6.2,3,18.6,1.5,0.4
INV-07273400030,9/15/2017,3857,Quillins Food Ranch / Waukon,9th St SW B,Waukon,52172,,3,ALLAMAKEE,1012300,Single Malt Scotch,240,William Grant & Sons Inc,5006,Glenfiddich 12yr Special Reserve,12,750,23.48,35.22,1,34.47,0.75,0.2
INV-07230300015,9/13/2017,3723,J D Spirits Liquor,1023  9th St,Onawa,51040,POINT (-96.095845 42.025841),67,MONONA,1012100,Canadian Whiskies,115,CONSTELLATION BRANDS INC,10550,Black Velvet Toasted Caramel,12,750,6.75,10.13,4,40.52,3,0.79
INV-07264800034,9/15/2017,2550,Hy-Vee Food Store / Osceola,510 West Mclane,Osceola,50213,POINT (-93.77321 41.030569),20,CLARKE,1062500,Flavored Rum,260,DIAGEO AMERICAS,43299,Captain Morgan Coconut,12,750,8.26,12.39,4,49.56,3,0.79
